date,agegrp,covid_deaths
2020-08-21 00:00:00,40-49,1
2020-08-21 00:00:00,50-59,1
2020-08-21 00:00:00,60-69,2
2020-08-21 00:00:00,70-79,1
2020-08-21 00:00:00,80+,3
2020-08-22 00:00:00,40-49,2
2020-08-22 00:00:00,50-59,1
2020-08-22 00:00:00,60-69,1
2020-08-22 00:00:00,70-79,1
2020-08-22 00:00:00,80+,8
2020-08-23 00:00:00,50-59,1
2020-08-23 00:00:00,70-79,3
2020-08-23 00:00:00,80+,7
2020-08-24 00:00:00,50-59,1
2020-08-24 00:00:00,60-69,4
2020-08-24 00:00:00,70-79,5
2020-08-24 00:00:00,80+,3
2020-08-25 00:00:00,50-59,3
2020-08-25 00:00:00,60-69,1
2020-08-25 00:00:00,70-79,3
2020-08-25 00:00:00,80+,3
2020-08-26 00:00:00,70-79,1
2020-08-26 00:00:00,80+,2
2020-08-27 00:00:00,50-59,1
2020-08-27 00:00:00,60-69,1
2020-08-27 00:00:00,70-79,6
2020-08-27 00:00:00,80+,7
2020-08-28 00:00:00,50-59,1
2020-08-28 00:00:00,60-69,1
2020-08-28 00:00:00,70-79,2
2020-08-28 00:00:00,80+,5
2020-08-29 00:00:00,50-59,1
2020-08-29 00:00:00,60-69,3
2020-08-29 00:00:00,70-79,1
2020-08-29 00:00:00,80+,3
2020-08-30 00:00:00,60-69,4
2020-08-30 00:00:00,70-79,1
2020-08-30 00:00:00,80+,2
2020-08-31 00:00:00,30-39,1
2020-08-31 00:00:00,40-49,2
2020-08-31 00:00:00,60-69,2
2020-08-31 00:00:00,70-79,4
2020-08-31 00:00:00,80+,3
2020-09-01 00:00:00,40-49,1
2020-09-01 00:00:00,70-79,2
2020-09-01 00:00:00,80+,2
2020-09-02 00:00:00,50-59,1
2020-09-02 00:00:00,60-69,2
2020-09-02 00:00:00,70-79,3
2020-09-02 00:00:00,80+,3
2020-09-03 00:00:00,30-39,1
2020-09-03 00:00:00,60-69,1
2020-09-03 00:00:00,80+,3
2020-09-04 00:00:00,60-69,1
2020-09-04 00:00:00,70-79,2
2020-09-04 00:00:00,80+,10
2020-09-05 00:00:00,60-69,1
2020-09-05 00:00:00,70-79,3
2020-09-05 00:00:00,80+,6
2020-09-06 00:00:00,40-49,1
2020-09-06 00:00:00,50-59,1
2020-09-06 00:00:00,60-69,2
2020-09-06 00:00:00,70-79,2
2020-09-06 00:00:00,80+,8
2020-09-07 00:00:00,60-69,2
2020-09-07 00:00:00,70-79,3
2020-09-07 00:00:00,80+,4
2020-09-08 00:00:00,60-69,2
2020-09-08 00:00:00,70-79,5
2020-09-08 00:00:00,80+,7
2020-09-09 00:00:00,60-69,1
2020-09-09 00:00:00,70-79,6
2020-09-09 00:00:00,80+,4
2020-09-10 00:00:00,50-59,1
2020-09-10 00:00:00,70-79,5
2020-09-10 00:00:00,80+,5
2020-09-11 00:00:00,50-59,1
2020-09-11 00:00:00,60-69,3
2020-09-11 00:00:00,70-79,3
2020-09-11 00:00:00,80+,4
2020-09-12 00:00:00,70-79,2
2020-09-12 00:00:00,80+,2
2020-09-13 00:00:00,50-59,1
2020-09-13 00:00:00,60-69,2
